"","Species","TREE_ID","X","Y","Year","logF_current"
"136","Abies concolor","50206_3_17_6_3_149",38.818547,-120.008184,2001,5.40874171380778
"137","Abies concolor","50206_3_17_6_3_149",38.818547,-120.008184,2011,3.15957712966781
"138","Abies concolor","50206_3_17_6_3_149",38.818547,-120.008184,2021,6.01098059736748
"139","Abies concolor","50206_3_17_6_3_150",38.818547,-120.008184,2001,5.40872072880778
"140","Abies concolor","50206_3_17_6_3_150",38.818547,-120.008184,2011,3.15953515966781
"141","Abies concolor","50206_3_17_6_3_150",38.818547,-120.008184,2021,5.66519224939407
"142","Abies concolor","50206_3_17_6_3_151",38.818547,-120.008184,2001,5.40896835180778
"143","Abies concolor","50206_3_17_6_3_151",38.818547,-120.008184,2011,3.15981635866781
"144","Abies concolor","50206_3_17_6_3_151",38.818547,-120.008184,2021,5.66553640339407
"145","Abies concolor","50206_3_17_6_3_152",38.818547,-120.008184,2001,5.40875850180778
"146","Abies concolor","50206_3_17_6_3_152",38.818547,-120.008184,2011,3.15959811466781
"147","Abies concolor","50206_3_17_6_3_152",38.818547,-120.008184,2021,5.66530556839407
"148","Abies concolor","50206_3_17_6_3_153",38.818547,-120.008184,2001,5.40895995780778
"149","Abies concolor","50206_3_17_6_3_153",38.818547,-120.008184,2011,3.15980796466781
"150","Abies concolor","50206_3_17_6_3_153",38.818547,-120.008184,2021,5.66552800939407
"151","Abies concolor","50206_3_17_6_3_154",38.818547,-120.008184,2001,5.40895995780778
"152","Abies concolor","50206_3_17_6_3_154",38.818547,-120.008184,2011,3.15981216166781
"153","Abies concolor","50206_3_17_6_3_154",38.818547,-120.008184,2021,5.66552800939407
"154","Abies concolor","50206_3_17_6_3_156",38.818547,-120.008184,2001,5.40898094280778
"155","Abies concolor","50206_3_17_6_3_156",38.818547,-120.008184,2011,3.15982055566781
"156","Abies concolor","50206_3_17_6_3_156",38.818547,-120.008184,2021,5.66552381239407
"157","Abies concolor","50206_3_17_6_3_157",38.818547,-120.008184,2001,5.40874171380778
"158","Abies concolor","50206_3_17_6_3_157",38.818547,-120.008184,2011,3.15957712966781
"159","Abies concolor","50206_3_17_6_3_157",38.818547,-120.008184,2021,5.66528038639407
"160","Abies concolor","50206_3_17_6_3_158",38.818547,-120.008184,2001,5.40879627480778
"161","Abies concolor","50206_3_17_6_3_158",38.818547,-120.008184,2011,3.15961909966781
"162","Abies concolor","50206_3_17_6_3_158",38.818547,-120.008184,2021,6.01098899136748
"163","Abies concolor","50206_3_17_6_4_161",38.818547,-120.008184,2001,5.40906907980778
"164","Abies concolor","50206_3_17_6_4_161",38.818547,-120.008184,2011,3.15992548066781
"165","Abies concolor","50206_3_17_6_4_161",38.818547,-120.008184,2021,5.66565811639407
"166","Abies concolor","50206_3_17_6_4_162",38.818547,-120.008184,2001,5.40914462580778
"167","Abies concolor","50206_3_17_6_4_162",38.818547,-120.008184,2011,3.16001361766781
"168","Abies concolor","50206_3_17_6_4_162",38.818547,-120.008184,2021,5.66575045039407
"169","Abies concolor","50206_3_17_6_4_163",38.818547,-120.008184,2001,5.40877528980778
"170","Abies concolor","50206_3_17_6_4_163",38.818547,-120.008184,2011,3.15959391766781
"171","Abies concolor","50206_3_17_6_4_163",38.818547,-120.008184,2021,5.66530137139407
"172","Abies concolor","50206_3_17_6_4_164",38.818547,-120.008184,2001,5.40883404780778
"173","Abies concolor","50206_3_17_6_4_164",38.818547,-120.008184,2011,3.15967366066781
"174","Abies concolor","50206_3_17_6_4_164",38.818547,-120.008184,2021,5.66536012939407
"175","Abies concolor","50206_3_17_6_4_165",38.818547,-120.008184,2001,5.40899353380778
"176","Abies concolor","50206_3_17_6_4_165",38.818547,-120.008184,2011,3.15984573766781
"177","Abies concolor","50206_3_17_6_4_165",38.818547,-120.008184,2021,5.66556578239407
"178","Abies concolor","50206_3_17_6_4_166",38.818547,-120.008184,2001,5.40893897280778
"179","Abies concolor","50206_3_17_6_4_166",38.818547,-120.008184,2011,3.15977438866781
"180","Abies concolor","50206_3_17_6_4_166",38.818547,-120.008184,2021,5.66545246339407
"181","Abies concolor","50206_3_17_6_4_167",38.818547,-120.008184,2001,5.40889280580778
"182","Abies concolor","50206_3_17_6_4_167",38.818547,-120.008184,2011,3.15976599466781
"183","Abies concolor","50206_3_17_6_4_167",38.818547,-120.008184,2021,5.66547764539407
"184","Abies concolor","50206_3_17_6_4_168",38.818547,-120.008184,2001,5.40888860880778
"185","Abies concolor","50206_3_17_6_4_168",38.818547,-120.008184,2011,3.15973241866781
"186","Abies concolor","50206_3_17_6_4_168",38.818547,-120.008184,2021,5.66543987239407
"187","Abies concolor","50206_3_17_6_4_169",38.818547,-120.008184,2001,5.40874171380778
"188","Abies concolor","50206_3_17_6_4_169",38.818547,-120.008184,2011,3.15958132666781
"189","Abies concolor","50206_3_17_6_4_169",38.818547,-120.008184,2021,5.66530556839407
"190","Abies concolor","50206_3_17_6_4_170",38.818547,-120.008184,2001,5.40895995780778
"191","Abies concolor","50206_3_17_6_4_170",38.818547,-120.008184,2011,3.15979957066781
"192","Abies concolor","50206_3_17_6_4_170",38.818547,-120.008184,2021,5.66550702439407
"193","Abies concolor","50206_3_17_6_4_171",38.818547,-120.008184,2001,5.40878788080778
"194","Abies concolor","50206_3_17_6_4_171",38.818547,-120.008184,2011,3.15959391766781
"195","Abies concolor","50206_3_17_6_4_171",38.818547,-120.008184,2021,5.66526779539407
"196","Abies concolor","50206_3_17_6_4_172",38.818547,-120.008184,2001,5.40877948680778
"197","Abies concolor","50206_3_17_6_4_172",38.818547,-120.008184,2011,3.15960650866781
"198","Abies concolor","50206_3_17_6_4_172",38.818547,-120.008184,2021,5.66531815939407
"199","Abies concolor","50206_3_17_6_4_173",38.818547,-120.008184,2001,5.40900192780778
"200","Abies concolor","50206_3_17_6_4_173",38.818547,-120.008184,2011,3.15982894966781
"201","Abies concolor","50206_3_17_6_4_173",38.818547,-120.008184,2021,5.66555319139407
"202","Abies concolor","50206_3_17_6_4_174",38.818547,-120.008184,2001,5.40888021480778
"203","Abies concolor","50206_3_17_6_4_174",38.818547,-120.008184,2011,3.15972402466781
"204","Abies concolor","50206_3_17_6_4_174",38.818547,-120.008184,2021,5.66543987239407
"205","Abies concolor","50206_3_17_6_4_175",38.818547,-120.008184,2001,5.40885922980778
"206","Abies concolor","50206_3_17_6_4_175",38.818547,-120.008184,2011,3.15966526666781
"207","Abies concolor","50206_3_17_6_4_175",38.818547,-120.008184,2021,5.66539370539407
"208","Abies concolor","50206_3_17_6_4_179",38.818547,-120.008184,2001,5.40888860880778
"209","Abies concolor","50206_3_17_6_4_179",38.818547,-120.008184,2011,3.15976599466781
"210","Abies concolor","50206_3_17_6_4_179",38.818547,-120.008184,2021,NA
"211","Abies concolor","50206_3_17_6_4_183",38.818547,-120.008184,2001,5.40898513980778
"212","Abies concolor","50206_3_17_6_4_183",38.818547,-120.008184,2011,3.15982894966781
"213","Abies concolor","50206_3_17_6_4_183",38.818547,-120.008184,2021,5.66554479739407
"214","Abies concolor","50206_3_17_6_4_186",38.818547,-120.008184,2001,5.40889280580778
"215","Abies concolor","50206_3_17_6_4_186",38.818547,-120.008184,2011,3.15972822166781
"216","Abies concolor","50206_3_17_6_4_186",38.818547,-120.008184,2021,5.66543567539407
"217","Abies concolor","50206_3_17_6_4_188",38.818547,-120.008184,2001,5.40893477580778
"218","Abies concolor","50206_3_17_6_4_188",38.818547,-120.008184,2011,3.15981216166781
"219","Abies concolor","50206_3_17_6_4_188",38.818547,-120.008184,2021,NA
"220","Abies concolor","50206_3_17_6_4_189",38.818547,-120.008184,2001,5.40873331980778
"221","Abies concolor","50206_3_17_6_4_189",38.818547,-120.008184,2011,3.15962329666781
"222","Abies concolor","50206_3_17_6_4_189",38.818547,-120.008184,2021,NA
"223","Abies concolor","50206_3_17_6_4_190",38.818547,-120.008184,2001,5.40874171380778
"224","Abies concolor","50206_3_17_6_4_190",38.818547,-120.008184,2011,3.15956034166781
"225","Abies concolor","50206_3_17_6_4_190",38.818547,-120.008184,2021,5.66525940139407
"226","Abies concolor","50206_3_17_6_4_191",38.818547,-120.008184,2001,5.40873751680778
"227","Abies concolor","50206_3_17_6_4_191",38.818547,-120.008184,2011,3.15958972066781
"228","Abies concolor","50206_3_17_6_4_191",38.818547,-120.008184,2021,5.66531815939407
"229","Abies concolor","50206_3_17_6_4_192",38.818547,-120.008184,2001,5.40895156380778
"230","Abies concolor","50206_3_17_6_4_192",38.818547,-120.008184,2011,3.15977858566781
"231","Abies concolor","50206_3_17_6_4_192",38.818547,-120.008184,2021,5.66543987239407
"232","Abies concolor","50206_3_17_6_4_202",38.818547,-120.008184,2011,3.15984993466781
"233","Abies concolor","50206_3_17_6_4_202",38.818547,-120.008184,2021,5.66554479739407
"234","Abies concolor","50206_3_17_6_4_203",38.818547,-120.008184,2011,3.15986252566781
"235","Abies concolor","50206_3_17_6_4_203",38.818547,-120.008184,2021,5.66557837339407
"236","Abies concolor","50288_3_17_6_1_102",38.847332,-120.48685,2006,4.71445130065969
"237","Abies concolor","50288_3_17_6_1_102",38.847332,-120.48685,2016,4.77263957538845
"238","Abies concolor","50288_3_17_6_1_104",38.847332,-120.48685,2006,4.71429181465969
"239","Abies concolor","50288_3_17_6_1_104",38.847332,-120.48685,2016,4.77245910438845
"240","Abies concolor","50288_3_17_6_1_106",38.847332,-120.48685,2006,4.71416590465969
"241","Abies concolor","50288_3_17_6_1_106",38.847332,-120.48685,2016,4.77230801238845
"242","Abies concolor","50288_3_17_6_1_108",38.847332,-120.48685,2006,4.71436736065969
"243","Abies concolor","50288_3_17_6_1_108",38.847332,-120.48685,2016,4.77255563538845
"244","Abies concolor","50288_3_17_6_2_113",38.847332,-120.48685,2006,4.71443870965969
"245","Abies concolor","50288_3_17_6_2_113",38.847332,-120.48685,2016,4.77255563538845
"246","Abies concolor","50288_3_17_6_2_114",38.847332,-120.48685,2006,4.71439254265969
"247","Abies concolor","50288_3_17_6_2_114",38.847332,-120.48685,2016,4.77252205938845
"248","Abies concolor","50288_3_17_6_2_116",38.847332,-120.48685,2006,4.71448907365969
"249","Abies concolor","50288_3_17_6_2_116",38.847332,-120.48685,2016,4.77264796938845
"250","Abies concolor","50288_3_17_6_2_117",38.847332,-120.48685,2006,4.71380076565969
"251","Abies concolor","50288_3_17_6_2_117",38.847332,-120.48685,2016,4.77197644938845
"252","Abies concolor","50288_3_17_6_3_142",38.847332,-120.48685,2006,4.71443031565969
"253","Abies concolor","50288_3_17_6_3_142",38.847332,-120.48685,2016,4.77258921138845
"254","Abies concolor","50288_3_17_6_3_143",38.847332,-120.48685,2006,4.71439673965969
"255","Abies concolor","50288_3_17_6_3_143",38.847332,-120.48685,2016,4.77254724138845
"256","Abies concolor","50288_3_17_6_3_150",38.847332,-120.48685,2006,4.71432539065969
"257","Abies concolor","50288_3_17_6_3_150",38.847332,-120.48685,2016,4.77248848338845
"258","Abies concolor","50288_3_17_6_3_157",38.847332,-120.48685,2006,4.71462757465969
"259","Abies concolor","50288_3_17_6_3_157",38.847332,-120.48685,2016,4.77278647038845
"260","Abies concolor","50288_3_17_6_4_160",38.847332,-120.48685,2006,4.71393087265969
"261","Abies concolor","50288_3_17_6_4_160",38.847332,-120.48685,2016,4.77204779838845
"262","Abies concolor","50288_3_17_6_4_165",38.847332,-120.48685,2006,4.71416590465969
"263","Abies concolor","50288_3_17_6_4_165",38.847332,-120.48685,2016,4.77230801238845
"264","Abies concolor","50293_2_89_6_2_1",40.577307,-121.657923,2010,3.24512492391887
"265","Abies concolor","50293_2_89_6_2_1",40.577307,-121.657923,2020,5.64095576852925
"266","Abies concolor","50293_2_89_6_3_2",40.577307,-121.657923,2010,3.24446599491887
"267","Abies concolor","50293_2_89_6_3_2",40.577307,-121.657923,2020,5.64038917352925
"268","Abies concolor","50293_2_89_6_3_3",40.577307,-121.657923,2010,3.24520466691887
"269","Abies concolor","50293_2_89_6_3_3",40.577307,-121.657923,2020,5.64121178552925
"270","Abies concolor","50293_2_89_6_3_6",40.577307,-121.657923,2010,3.24525922791887
"271","Abies concolor","50293_2_89_6_3_6",40.577307,-121.657923,2020,5.64127054352925
"272","Abies concolor","50293_2_89_6_4_12",40.577307,-121.657923,2010,3.24451635891887
"273","Abies concolor","50293_2_89_6_4_12",40.577307,-121.657923,2020,5.64048150752925
"274","Abies concolor","50402_2_35_6_1_112",40.741974,-121.129558,2002,4.89987024800021
"275","Abies concolor","50402_2_35_6_1_112",40.741974,-121.129558,2012,4.88532152509786
"276","Abies concolor","50402_2_35_6_1_113",40.741974,-121.129558,2002,4.89986185400021
